birnlex_4039,NIFGA:birnlex_4039
birnlex_1096,NIFGA:birnlex_1096
nlx_12056,
nlx_12412,
nlx_144456,NIFGA:nlx_144456
nlx_153450,
birnlex_913,NIFGA:birnlex_913
birnlex_848,NIFGA:birnlex_848
birnlex_1332,NIFGA:birnlex_1332
birnlex_1338,NIFGA:birnlex_1338
nlx_153166,
PATO_0001632,OBO:PATO_0001632
birnlex_1582,NIFGA:birnlex_1582
birnlex_1657,NIFGA:birnlex_1657
PATO_0002041,OBO:PATO_0002041
PATO_0002024,OBO:PATO_0002024
PATO_0000615,OBO:PATO_0000615
PATO_0001601,OBO:PATO_0001601
birnlex_1358,NIFGA:birnlex_1358
nlx_153123,
birnlex_1600,NIFGA:birnlex_1600
nlx_144455,
nlx_153605,
PATO_0001915,OBO:PATO_0001915
nlx_25113,
nlx_153796,
nlx_152927,
nlx_152906,
nlx_153029,
nlx_153279,
nlx_153739,
nlx_153101,
birnlex_1365,NIFGA:birnlex_1365
nlx_153266,
nlx_153141,
nlx_153018,
nlx_153045,
nlx_153145,
nlx_153242,
nlx_153377,
nlx_153609,
nlx_152986,
nlx_153421,
birnlex_2572,NIFGA:birnlex_2572
birnlex_1372,NIFGA:birnlex_1372
nlx_153004,
birnlex_1401,NIFGA:birnlex_1401
nlx_153603,
nlx_17240,
nlx_153534,
PATO_0001917,OBO:PATO_0001917
PATO_0001474,OBO:PATO_0001474
nlx_25695,
birnlex_2173,NIFINV:birnlex_2173
PRO:000000009,
birnlex_2110,NIFINV:birnlex_2110
birnlex_2480_2,NIFRES:birnlex_2480_2
CHEBI:35623,
CHEBI:35469,
DB00025,
CHEBI:22586,
nlx_30993,
nlx_146020,
DB00098,
birnlex_640,NIFORG:birnlex_640
nlx_151847,
PATO_0001405,OBO:PATO_0001405
birnlex_601,NIFORG:birnlex_601
birnlex_12671,NIFDYS:birnlex_12671
birnlex_3007,NIFINV:birnlex_3007
birnlex_353,NIFORG:birnlex_353
birnlex_365,NIFORG:birnlex_365
birnlex_375,NIFORG:birnlex_375
birnlex_360,NIFORG:birnlex_360
birnlex_2349,NIFINV:birnlex_2349
nifext_5026,NIFMOL:nifext_5026
nifext_5967,NIFMOL:nifext_5967
birnlex_1714,NIFGA:birnlex_1714
birnlex_2523,NIFGA:birnlex_2523
birnlex_811,NIFGA:birnlex_811
birnlex_2670,NIFGA:birnlex_2670
birnlex_2670,NIFGA:birnlex_2670
birnlex_2555,NIFGA:birnlex_2555
birnlex_1427,NIFGA:birnlex_1427
sao273773228,NIFSUB:sao273773228
sao1877927224,NIFSUB:sao1877927224
PATO_0002023,OBO:PATO_0002023
birnlex_419,NIFORG:birnlex_419
birnlex_427,NIFORG:birnlex_427
birnlex_435,NIFORG:birnlex_435
birnlex_442,NIFORG:birnlex_442
birnlex_154,NIFORG:birnlex_154
PATO_0001483,OBO:PATO_0001483
PATO_0002019,OBO:PATO_0002019
birnlex_464,NIFORG:birnlex_464
nlx_152110,
nlx_152508,
nlx_152107,
nlx_152511,
nlx_152516,
nlx_152070,
nlx_152108,
nlx_152510,
nlx_152509,
nlx_152072,
birnlex_470,NIFORG:birnlex_470
nlx_cell_20090313,NIFCELL:nlx_cell_20090313
birnlex_458,NIFORG:birnlex_458
birnlex_452,NIFORG:birnlex_452
birnlex_503,NIFORG:birnlex_503
birnlex_453,NIFORG:birnlex_453
birnlex_410,NIFORG:birnlex_410
nlx_mol_090902,NIFMOL:nlx_mol_090902
nlx_mol_090903,NIFMOL:nlx_mol_090903
nlx_mol_090904,NIFMOL:nlx_mol_090904
CHEBI:48538,
PATO_0000638,OBO:PATO_0000638
birnlex_250,NIFORG:birnlex_250
birnlex_1881,NIFFUN:birnlex_1881
birnlex_1888,NIFFUN:birnlex_1888
nlx_149559,
nlx_149560,
nlx_149561,
nlx_149562,
nlx_149563,
nlx_149564,
nlx_149565,
nlx_149566,
nlx_149567,
birnlex_2235,NIFINV:birnlex_2235
nlx_149568,
nlx_149569,
nlx_149570,
nlx_149571,
DB00964,
DB00673,
sao1548226791,NIFMOL:sao1548226791
CHEBI:15843,
nlx_anat_090208,NIFGA:nlx_anat_090208
nlx_149572,
nlx_anat_20090101,NIFGA:nlx_anat_20090101
CHEBI:50580,
nlx_152495,
PATO_0001594,OBO:PATO_0001594
birnlex_218,NIFORG:birnlex_218
DB00113,
nlx_144487,
birnlex_563,NIFORG:birnlex_563
birnlex_556,NIFORG:birnlex_556
nlx_152922,
birnlex_1638,NIFGA:birnlex_1638
birnlex_2635,NIFGA:birnlex_2635
nlx_153910,NIFGA:nlx_153910
DB00407,
PATO_0001323,OBO:PATO_0001323
nlx_br_145,
birnlex_1379,NIFGA:birnlex_1379
PATO_0001351,OBO:PATO_0001351
birnlex_2636,NIFGA:birnlex_2636
nlx_153728,
nlx_149262,
DB01274,
CHEBI:48720,
nlx_55742,
birnlex_172,NIFORG:birnlex_172
CHEBI:31236,
nlx_158120,
nlx_60512,
birnlex_7278,NIFORG:birnlex_7278
birnlex_7279,NIFORG:birnlex_7279
birnlex_7280,NIFORG:birnlex_7280
birnlex_7276,NIFORG:birnlex_7276
birnlex_7275,NIFORG:birnlex_7275
T3D0051,
T3D0048,
T3D0029,
T3D0027,
T3D0013,
T3D0014,
PRO:000006342,
nlx_145345,
nlx_152219,
nlx_152219,
PATO_0000297,OBO:PATO_0000297
PATO_0000504,OBO:PATO_0000504
PATO_0001881,OBO:PATO_0001881
T3D0001,
CHEBI:30621,
birnlex_11028,BIRNOBI:birnlex_11028
nlx_156830,
nlx_33729,
birnlex_541,NIFORG:birnlex_541
birnlex_523,NIFORG:birnlex_523
nlx_153842,
nlx_158069,
birnlex_661,NIFORG:birnlex_661
birnlex_663,NIFORG:birnlex_663
birnlex_662,NIFORG:birnlex_662
birnlex_664,NIFORG:birnlex_664
birnlex_665,NIFORG:birnlex_665
nlx_143627,
nlx_151417,
DB00023,
CHEBI:2877,
nlx_mol_20090301,NIFMOL:nlx_mol_20090301
birnlex_12769,NIFDYS:birnlex_12769
sao128827344,NIFQUAL:sao128827344
DB00945,
nlx_151921,
birnlex_2018,NIFINV:birnlex_2018
nlx_res_20090413,NIFRES:nlx_res_20090413
nlx_158549,
nlx_inv_1005014,NIFGG:nlx_inv_1005014
PATO_0001668,OBO:PATO_0001668
oen_0001107,
nlx_145351,
birnlex_493,NIFORG:birnlex_493
birnlex_153,NIFORG:birnlex_153
birnlex_416,NIFORG:birnlex_416
DB00637,
nlx_75108,
nlx_158075,
sao1394521419,NIFCELL:sao1394521419
sao1630537580,NIFSUB:sao1630537580
nlx_subcell_20090204,NIFSUB:nlx_subcell_20090204
nlx_152224,
birnlex_12619,NIFDYS:birnlex_12619
PATO_0000616,OBO:PATO_0000616
sao2047438300,NIFQUAL:sao2047438300
PATO_0001848,OBO:PATO_0001848
PATO_0000688,OBO:PATO_0000688
birnlex_12639,NIFDYS:birnlex_12639
birnlex_12649,NIFDYS:birnlex_12649
CHEBI:37924,
birnlex_611,NIFORG:birnlex_611
DB00335,
birnlex_12652,NIFDYS:birnlex_12652
nlx_157937,
birnlex_431,NIFORG:birnlex_431
nlx_res_20090402,NIFRES:nlx_res_20090402
CHEBI:33250,
nlx_151925,
DB00289,
birnlex_12740,NIFDYS:birnlex_12740
PATO_0001813,OBO:PATO_0001813
CHEBI:39548,
DB01117,
DB00732,
PATO_0001819,OBO:PATO_0001819
PATO_0001623,OBO:PATO_0001623
CHEBI:16684,
nlx_149573,
PATO_0001667,OBO:PATO_0001667
birnlex_1843,NIFFUN:birnlex_1843
DOID:1094,DOID:1094
nlx_146126,
nlx_146021,
PATO_0001982,OBO:PATO_0001982
